Season,Competition,MatchDate,HomeClub,AwayClub,PlayerName,ClubName,Position,Started,MinutesPlayed,Goals,Assists,PenaltyGoals,PenaltyAttempts,Shots,ShotsOnTarget,YellowCards,RedCards,FoulsCommitted,FoulsDrawn,Offsides,Crosses,TacklesWon,Interceptions,OwnGoals,PenaltyWon,PenaltyConceded,ShotsFaced,Saves,PenaltyFaced,PenaltySaved,Rating,KeyPasses,PassesCompleted,PassAttempted,DribblesAttempted,DribbleSuccess
2025/26,Premier League,2025-08-15,Liverpool,Bournemouth,Antoine Semenyo,Bournemouth,FW,TRUE,90,2,0,0,0,3,2,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,8.7,0,7,15,3,1
2025/26,Premier League,2025-08-23,Bournemouth,Wolves,Antoine Semenyo,Bournemouth,FW,TRUE,90,0,1,0,0,4,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,6,3,28,32,2,1
2025/26,Premier League,2025-08-30,Tottenham,Bournemouth,Antoine Semenyo,Bournemouth,FW,TRUE,90,0,0,0,0,3,1,1,0,2,1,2,1,1,0,0,0,0,0,0,0,0,6.9,2,18,27,5,4
2025/26,Premier League,2025-09-13,Bournemouth,Brighton,Antoine Semenyo,Bournemouth,FW,TRUE,90,1,1,1,1,2,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,8.3,2,22,30,3,3
2025/26,Premier League,2025-09-21,Bournemouth,Newcastle,Antoine Semenyo,Bournemouth,FW,TRUE,90,0,0,0,0,1,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,6.7,1,16,21,3,2
2025/26,Premier League,2025-09-27,Leeds United,Bournemouth,Antoine Semenyo,Bournemouth,FW,TRUE,90,1,0,0,0,1,1,0,0,5,0,1,1,1,0,0,0,0,0,0,0,0,7.2,1,19,23,6,3
2025/26,Premier League,2025-10-03,Bournemouth,Fulham,Antoine Semenyo,Bournemouth,FW,TRUE,90,2,1,0,0,3,3,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,9.5,1,27,35,2,1
2025/26,Premier League,2025-10-18,Crystal Palace,Bournemouth,Antoine Semenyo,Bournemouth,FW,TRUE,90,0,0,0,0,2,1,1,0,5,0,1,1,0,0,0,0,0,0,0,0,0,6.8,0,18,25,3,3
2025/26,Premier League,2025-10-26,Bournemouth,Nottingham,Antoine Semenyo,Bournemouth,FW,TRUE,89,0,0,0,0,1,1,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,7.4,1,26,32,4,2
2025/26,Premier League,2025-11-02,Manchester City,Bournemouth,Antoine Semenyo,Bournemouth,FW,TRUE,90,0,0,0,0,2,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,6.4,2,25,28,4,1
