PlayerName,ClubName,Position,Nationality,DateOfBirth,Height,JerseyNumber,PhotoPath,IsActive
Aaron Ramsdale,Arsenal,GK,England,1998-05-14,1.95,1,players/aaron_ramsdale.png,FALSE
Ben White,Arsenal,DF,England,1997-10-08,1.86,4,players/ben_white.png,TRUE
Bukayo Saka,Arsenal,FW,England,2001-09-05,1.78,7,players/bukayo_saka.png,TRUE
Christian Norgaard,Arsenal,MF,Denmark,1994-03-10,1.85,16,players/christian_norgaard.png,TRUE
Christos Tzolis,Arsenal,FW,Greece,2002-01-30,1.8,17,players/christos_tzolis.png,TRUE
Cristhian Mosquera,Arsenal,DF,Spain,2004-06-27,1.91,3,players/cristhian_mosquera.png,TRUE
David Raya,Arsenal,GK,Spain,1995-09-15,1.83,1,players/david_raya.png,TRUE
Declan Rice,Arsenal,MF,England,1999-01-14,1.88,41,players/declan_rice.png,TRUE
Eberechi Eze,Arsenal,MF,England,1998-06-29,1.78,10,players/eberechi_eze.png,TRUE
Eddie Nketiah,Arsenal,FW,England,1999-05-30,1.75,21,players/eddie_nketiah.png,FALSE
Ethan Nwaneri,Arsenal,MF,England,2007-03-21,1.76,22,players/ethan_nwaneri.png,TRUE
Fabio Vieira,Arsenal,MF,Portugal,2000-05-30,1.7,21,players/fabio_vieira.png,TRUE
Gabriel Jesus,Arsenal,FW,Brazil,1997-04-03,1.75,9,players/gabriel_jesus.png,TRUE
Gabriel Magalhaes,Arsenal,DF,Brazil,1997-12-19,1.9,6,players/gabriel_magalhaes.png,TRUE
Gabriel Martinelli,Arsenal,FW,Brazil,2001-06-18,1.8,11,players/gabriel_martinelli.png,TRUE
Granit Xhaka,Arsenal,MF,Switzerland,1992-09-12,1.85,8,players/granit_xhaka.png,FALSE
Illan Meslier,Arsenal,GK,France,2000-03-02,1.96,30,players/illan_meslier.png,TRUE
Jakub Kiwior,Arsenal,MF,Poland,2000-02-15,1.85,18,players/jakub_kiwior.png,FALSE
Jorginho,Arsenal,MF,Itaky,1991-12-20,1.8,8,players/jorginho.png,FALSE
Jurrien Timber,Arsenal,DF,Netherlands,2001-06-17,1.79,12,players/jurrien_timber.png,TRUE
Kai Havertz,Arsenal,FW,Germany,1999-06-11,1.93,29,players/kai_havertz.png,TRUE
Kepa Arrizabalaga,Arsenal,GK,Spain,1994-10-03,1.88,13,players/kepa_arrizabalaga.png,TRUE
Kieran Tierney,Arsenal,DF,Scotland,1997-06-05,1.78,3,players/kieran_tierney.png,FALSE
Leandro Trossard,Arsenal,FW,Belgium,1994-12-04,1.72,11,players/leandro_trossard.png,FALSE
Martin Odegaard,Arsenal,MF,Norway,1998-12-17,1.78,8,players/martin_odegaard.png,TRUE
Martin Zubimendi,Arsenal,MF,Spain,1999-02-02,1.8,36,players/martin_zubimendi.png,TRUE
Max Dowman,Arsenal,MF,England,2009-12-31,1.83,56,players/max_dowman.png,TRUE
Mikel Merino,Arsenal,MF,Spain,1996-06-22,1.88,23,players/mikel_merino.png,TRUE
Myles Lewis Skelly,Arsenal,DF,England,2006-09-26,1.78,49,players/myles_lewis_skelly.png,TRUE
Noni Madueke,Arsenal,FW,England,2002-03-10,1.82,20,players/noni_madueke.png,TRUE
Oleksandr Zinchenko,Arsenal,DF,Ukraine,1996-12-15,1.75,2,players/oleksandr_zinchenki.png,FALSE
Piero Hincapie,Arsenal,DF,Ecuador,2002-01-09,1.84,5,players/piero_hincapie.png,TRUE
Raheem Sterling,Arsenal,FW,England,1994-12-08,1.7,10,players/raheem_sterling.png,FALSE
Reiss Nelson,Arsenal,FW,England,1999-12-10,1.75,24,players/reiss_nelson.png,TRUE
Riccardo Calafiori,Arsenal,DF,Italy,2002-05-19,1.88,33,players/riccardo_calafiori.png,TRUE
Takehiro Tomiyasu,Arsenal,DF,Japan,1998-11-05,1.85,5,players/takehiro_tomiyasu.png,FALSE
Thomas Partey,Arsenal,MF,Ghana,1993-06-13,1.85,5,players/thomas_partey.png,FALSE
Tommy Setford,Arsenal,GK,England,2006-03-13,1.85,35,players/tommy_setford.png,TRUE
Viktor Gyokeres,Arsenal,FW,Sweden,1998-06-04,1.87,14,players/viktor_gyokeres.png,TRUE
William Saliba,Arsenal,DF,France,2001-03-24,1.93,2,players/william_saliba.png,TRUE
Aaron Anselmino,Chelsea,DF,Argenetina,2005-04-29,1.86,30,players/aaron_anselmino.png,TRUE
Alejandro Garnacho,Chelsea,FW,Argenetina,2000-07-24,1.77,17,players/alejandro_garnacho.png,FALSE
Andrey Santos,Chelsea,MF,Brazil,2004-03-03,1.76,8,players/andrey_santos.png,FALSE
Armando Broja,Chelsea,FW,Albania,2001-09-10,1.91,21,players/armando_broja.png,FALSE
Axel Disasi,Chelsea,DF,France,1998-03-11,1.9,2,players/axel_disasi.png,TRUE
Ben Chilwell,Chelsea,DF,England,1996-12-21,1.78,5,players/ben_chilwell.png,FALSE
Benoit Badiashile,Chelsea,DF,France,2001-03-26,1.94,5,players/benoit_badiashile.png,TRUE
Caleb Wiley,Chelsea,DF,USA,2004-12-22,1.78,26,players/caleb_wiley.png,TRUE
Cesar Azpilicueta,Chelsea,DF,Spain,1989-08-28,1.78,3,players/cesar_azpilicueta.png,FALSE
Christopher Nkunku,Chelsea,FW,France,1991-11-14,1.75,13,players/christopher_nkunku.png,FALSE
Cole Palmer,Chelsea,MF,England,2002-05-06,1.85,10,players/cole_palmer.png,TRUE
Conor Gallagher,Chelsea,MF,England,2000-02-06,1.82,18,players/conor_gallagher.png,FALSE
Danny Welbeck,Chelsea,FW,England,1990-11-26,1.85,18,players/danny_welbeck.png,TRUE
Dario Essugo,Chelsea,MF,Portugal,2005-03-14,1.78,14,players/dario_essugo.png,TRUE
David Datro Fofana,Chelsea,FW,Ivory Coast,2002-12-22,1.81,99,players/david_datro_fofana.png,TRUE
Denner,Chelsea,DF,Brazil,2008-02-25,1.76,6,players/denner.png,TRUE
Dorde Petovic,Chelsea,GK,Serbia,1999-10-08,1.94,1,players/dorde_petovic.png,FALSE
Emmanuel Emegha,Chelsea,FW,Netherlands,2003-02-03,1.95,10,players/emmanuel_emegha.png,TRUE
Enzo Fernandez,Chelsea,MF,Argenetina,2001-01-17,1.77,8,players/enzo_fernandez.png,TRUE
Estavao Willian,Chelsea,MF,Brazil,2007-04-24,1.76,41,players/estavao_willian.png,TRUE
Filip Jorgensen,Chelsea,GK,Denmark,2002-04-16,1.9,12,players/filip_jorgensen.png,TRUE
Geovany Quenda,Chelsea,FW,Portugal,2007-04-30,1.72,7,players/geovany_quenda.png,TRUE
Jadon Sancho,Chelsea,FW,England,2000-03-25,1.8,11,players/jadon_sancho.png,FALSE
James Hillson,Chelsea,GK,England,2001-01-14,1.87,55,players/james_hillson.png,TRUE
Jamie Gittens,Chelsea,MF,England,2004-08-08,1.78,11,players/jamie_gittens.png,TRUE
Joao Felix,Chelsea,FW,Portugal,1999-11-10,1.8,11,players/joao_felix.png,FALSE
Joao Pedro,Chelsea,FW,Brazil,2001-09-26,1.82,20,players/joao_pedro.png,TRUE
Jorrel Hato,Chelsea,DF,Netherlands,2006-03-07,1.82,21,players/jorrel_hato.png,TRUE
Joshua Acheampong,Chelsea,DF,England,2006-05-05,1.9,34,players/joshua_acheampong.png,TRUE
Kalidou Koulibaly,Chelsea,DF,Senegal,1991-06-20,1.95,2,players/kalidou_koulibaly.png,FALSE
Landon Emenalo,Chelsea,DF,England,2008-01-18,1.8,56,players/landon_emenalo.png,TRUE
Levi Colwill,Chelsea,DF,England,2003-02-26,1.87,6,players/levi_colwill.png,TRUE
Liam Delap,Chelsea,FW,England,2003-02-08,1.86,9,players/liam_delap.png,TRUE
Mahdi Nicoll Jazuli,Chelsea,MF,England,2010-01-06,1.77,10,players/mahdi_nicoll_jazuli.png,TRUE
Malo Gusto,Chelsea,DF,France,2003-05-19,1.79,27,players/malo_gusto.png,TRUE
Mamadou Sarr,Chelsea,DF,Senegal,2005-08-29,1.94,19,players/mamadou_sarr.png,TRUE
Marc Cucurella,Chelsea,DF,Spain,1998-07-22,1.75,3,players/marc_cucurella.png,FALSE
Marc Guiu,Chelsea,FW,Spain,2006-01-04,1.87,38,players/marc_guiu.png,TRUE
Marco Palestra,Chelsea,MF,Italy,2005-03-03,1.86,27,players/marco_palestra.png,TRUE
Mathis Eboue,Chelsea,FW,England,2009-02-27,1.78,72,players/mathis_eboue.png,TRUE
Maxence Lacroix,Chelsea,DF,France,2000-04-06,1.92,5,players/maxence_lacroix.png,TRUE
Mike Penders,Chelsea,GK,Belgium,2005-07-31,1.99,39,players/mike_penders.png,TRUE
Moises Caicedo,Chelsea,MF,Ecuador,2001-11-02,1.78,25,players/moises_caicedo.png,TRUE
Morgan Rogers,Chelsea,MF,England,2002-07-26,1.87,17,players/morgan_rogers.png,TRUE
Mykhailo Mudryk,Chelsea,FW,Ukrain,2001-01-05,1.75,10,players/mykhailo_mudryk.png,TRUE
Nicolas Jackson,Chelsea,FW,Senegal,2001-06-20,1.86,15,players/nicolas_jackson.png,TRUE
Olutayo Subuloye,Chelsea,DF,England,2007-12-18,1.86,4,players/olutayo_subuloye.png,TRUE
Pedro Neto,Chelsea,FW,Portugal,2000-03-09,1.72,7,players/pedro_neto.png,TRUE
Reece James,Chelsea,DF,England,1999-12-08,1.8,24,players/reece_james.png,TRUE
Reggie Walsh,Chelsea,MF,England,2008-10-20,1.76,46,players/reggie_walsh.png,TRUE
Reggie Watson,Chelsea,MF,England,2010-01-26,1.77,17,players/reggie_watson.png,TRUE
Robert Sanchez,Chelsea,GK,Spain,1997-11-18,1.97,1,players/robert_sanchez.png,TRUE
Romeo Lavia,Chelsea,MF,Belgium,2004-01-06,1.81,45,players/romeo_lavia.png,TRUE
Teddy Sharman Lowe,Chelsea,GK,England,2003-03-30,1.94,28,players/teddy_sharman_lowe.png,TRUE
Thiago Silva,Chelsea,DF,Brazil,1984-10-22,1.83,5,players/thiago_silva.png,FALSE
Tosin Adarabioyo,Chelsea,DF,England,1997-09-24,1.96,4,players/tosin_adarabioyo.png,TRUE
Trevoh Chalobah,Chelsea,DF,England,1999-07-05,1.9,23,players/trevoh_chalobah.png,TRUE
Valentin Barco,Chelsea,MF,Argenetina,2004-07-23,1.72,32,players/valentin_barco.png,TRUE
Wesley Fofana,Chelsea,DF,France,2000-12-17,1.86,29,players/wesley_fofana.png,TRUE
Alexander Isak,Liverpool,FW,Sweden,1999-09-21,1.93,9,players/alexander_isak.png,TRUE
Alexis Mac Allister,Liverpool,MF,Argentina,1998-12-24,1.76,10,players/alexis_mac_allister.png,TRUE
Alisson,Liverpool,GK,Brazil,1992-10-02,1.93,1,players/alisson.png,TRUE
Andy Robertson,Liverpool,DF,Scotland,1994-03-11,1.78,2,players/andy_robertson.png,FALSE
Calum Scanlon,Liverpool,DF,England,2005-02-14,1.77,48,players/calum_scanlon.png,TRUE
Calvin Ramsay,Liverpool,DF,Scotland,2003-07-31,1.77,47,players/calvin_ramsay.png,TRUE
Caoimhin Kelleher,Liverpool,GK,Republic of ireland,1998-11-23,1.88,22,players/caoimhin_kelleher.png,FALSE
Cody Gakpo,Liverpool,FW,Netherlands,1999-05-07,1.93,18,players/cody_gakpo.png,TRUE
Conor Bradley,Liverpool,DF,Northern Ireland,2003-07-09,1.81,12,players/conor_bradley.png,TRUE
Curtis Jones,Liverpool,MF,England,2001-01-30,1.85,17,players/curtis_jones.png,TRUE
Darwin Nunez,Liverpool,FW,Uruguay,1999-06-24,1.87,9,players/darwin_nunez.png,FALSE
Diogo jota,Liverpool,FW,Portugal,1996-12-04,1.78,16,players/diogo_jota.png,FALSE
Dominik Szoboszlai,Liverpool,MF,Hungary,2000-10-25,1.87,8,players/dominik_szoboszlai.png,TRUE
Fabinho,Liverpool,MF,Brazil,1993-10-23,1.88,5,players/fabinho.png,FALSE
Federico Chiesa,Liverpool,FW,Italy,1997-10-25,1.75,14,players/federico_chiesa.png,TRUE
Florian Wirtz,Liverpool,MF,Germany,2003-05-03,1.75,7,players/florian_wirtz.png,TRUE
Freddie Woodman,Liverpool,GK,England,1997-03-04,1.87,28,players/freddie_woodman.png,TRUE
Giorgi Mamardashvili,Liverpool,GK,Georgia,2000-09-29,2,25,players/giorgi_mamardashvili.png,TRUE
Giovanni Leoni,Liverpool,DF,Italy,2006-12-21,1.96,15,players/giovanni_leoni.png,TRUE
