Season,Competition,MatchDate,HomeClub,AwayClub,PlayerName,ClubName,Position,Started,MinutesPlayed,Goals,Assists,PenaltyGoals,PenaltyAttempts,Shots,ShotsOnTarget,YellowCards,RedCards,FoulsCommitted,FoulsDrawn,Offsides,Crosses,TacklesWon,Interceptions,OwnGoals,PenaltyWon,PenaltyConceded,ShotsFaced,Saves,PenaltyFaced,PenaltySaved,Rating,KeyPasses,PassesCompleted,PassAttempted,DribblesAttempted,DribbleSuccess
2025/26,Premier League,2025-08-17,Chelsea,Crystal Palace,Enzo Fernandez,Chelsea,MF,TRUE,78,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.8,1,31,37,0,0
2025/26,Premier League,2025-08-22,West Ham,Chelsea,Enzo Fernandez,Chelsea,MF,TRUE,90,1,0,0,0,3,1,0,0,2,0,1,3,1,0,0,0,0,0,0,0,0,6.6,0,55,64,1,0
2025/26,Premier League,2025-08-30,Chelsea,Fulham,Enzo Fernandez,Chelsea,MF,TRUE,90,1,1,1,1,1,1,0,0,0,2,0,3,0,2,0,0,0,0,0,0,0,7.9,3,40,50,0,0
2025/26,Premier League,2025-09-13,Brentford,Chelsea,Enzo Fernandez,Chelsea,MF,TRUE,90,0,0,0,0,1,0,0,0,1,1,0,3,4,1,0,0,0,0,0,0,0,6.7,2,66,76,1,0
2025/26,Premier League,2025-09-20,Manchester Utd,Chelsea,Enzo Fernandez,Chelsea,MF,TRUE,90,0,0,0,0,0,0,1,0,1,3,0,2,0,0,0,0,0,0,0,0,0,6.8,0,56,63,1,0
2025/26,Premier League,2025-09-27,Chelsea,Brighton,Enzo Fernandez,Chelsea,MF,TRUE,90,1,0,0,0,4,2,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,7.4,1,44,51,1,0
2025/26,Premier League,2025-10-04,Chelsea,Liverpool,Enzo Fernandez,Chelsea,MF,TRUE,90,0,0,0,0,2,1,0,0,2,0,0,2,1,1,0,0,0,0,0,0,0,6,1,36,45,2,0
2025/26,Premier League,2025-10-25,Chelsea,Sunderland,Enzo Fernandez,Chelsea,MF,TRUE,90,0,0,0,0,4,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,8,3,60,73,2,2
2025/26,Premier League,2025-11-01,Tottenham,Chelsea,Enzo Fernandez,Chelsea,MF,TRUE,90,0,0,0,0,2,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,6.8,4,37,46,3,0
2025/26,Premier League,2025-11-08,Chelsea,Wolves,Enzo Fernandez,Chelsea,MF,TRUE,82,0,0,0,0,5,2,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,7.8,2,61,63,0,0
2025/26,Premier League,2025-11-22,Burnley,Chelsea,Enzo Fernandez,Chelsea,MF,TRUE,90,1,0,0,0,2,1,0,0,1,1,0,3,1,1,0,0,0,0,0,0,0,7.7,3,26,33,3,1
2025/26,Premier League,2025-11-30,Chelsea,Arsenal,Enzo Fernandez,Chelsea,MF,TRUE,90,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,6.6,1,17,22,5,1
2025/26,Premier League,2025-12-03,Leeds United,Chelsea,Enzo Fernandez,Chelsea,MF,TRUE,90,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6.8,2,73,82,0,0
2025/26,Premier League,2025-12-06,Bournemouth,Chelsea,Enzo Fernandez,Chelsea,MF,TRUE,90,0,0,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,7.1,0,75,83,0,0
2025/26,Premier League,2025-12-13,Chelsea,Everton,Enzo Fernandez,Chelsea,MF,TRUE,90,0,0,0,0,2,1,0,0,2,2,0,1,1,2,0,0,0,0,0,0,0,7.6,1,36,43,2,0
2025/26,Premier League,2025-12-20,Newcastle,Chelsea,Enzo Fernandez,Chelsea,MF,FALSE,37,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,6.4,2,16,79,0,0
2025/26,Premier League,2025-12-27,Chelsea,Aston Villa,Enzo Fernandez,Chelsea,MF,TRUE,90,0,0,0,0,2,0,1,0,4,3,0,0,4,1,0,0,0,0,0,0,0,7.2,1,39,43,1,0
2025/26,Premier League,2025-12-30,Chelsea,Bournemouth,Enzo Fernandez,Chelsea,MF,TRUE,90,1,0,0,0,3,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,8.1,1,49,59,3,1
2025/26,Premier League,2026-01-04,Manchester City,Chelsea,Enzo Fernandez,Chelsea,MF,TRUE,90,1,0,0,0,3,2,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,7.7,2,25,33,3,0
2025/26,Premier League,2026-01-07,Fulham,Chelsea,Enzo Fernandez,Chelsea,MF,TRUE,64,0,0,0,0,1,0,1,0,0,0,0,6,0,1,0,0,0,0,0,0,0,7.1,3,24,30,0,0
2025/26,Premier League,2026-01-17,Chelsea,Brentford,Enzo Fernandez,Chelsea,MF,TRUE,84,0,1,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,7.5,3,43,49,3,2
2025/26,Premier League,2026-01-25,Crystal Palace,Chelsea,Enzo Fernandez,Chelsea,MF,TRUE,90,1,0,1,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6.9,1,46,52,1,0
2025/26,Premier League,2026-01-31,Chelsea,West Ham,Enzo Fernandez,Chelsea,MF,TRUE,90,1,0,0,0,3,1,1,0,1,3,0,5,0,1,0,0,0,0,0,0,0,8.3,0,76,89,0,0
2025/26,Premier League,2026-02-07,Wolves,Chelsea,Enzo Fernandez,Chelsea,MF,TRUE,90,0,0,0,0,3,1,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,6.2,3,67,75,1,0
2025/26,Premier League,2026-02-10,Chelsea,Leeds United,Enzo Fernandez,Chelsea,MF,TRUE,90,0,0,0,0,3,1,0,0,1,3,0,3,1,0,0,0,0,0,0,0,0,7.9,5,77,84,0,0
2025/26,Premier League,2026-02-21,Chelsea,Burnley,Enzo Fernandez,Chelsea,MF,TRUE,90,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,6,0,42,52,1,0
2025/26,Premier League,2026-03-01,Arsenal,Chelsea,Enzo Fernandez,Chelsea,MF,TRUE,85,0,0,0,0,1,1,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,6.7,0,32,42,1,0
2025/26,Premier League,2026-03-04,Aston Villa,Chelsea,Enzo Fernandez,Chelsea,MF,TRUE,78,0,1,0,0,1,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,7.3,3,42,45,0,0
