Season,Competition,MatchDate,HomeClub,AwayClub,PlayerName,ClubName,Position,Started,MinutesPlayed,Goals,Assists,PenaltyGoals,PenaltyAttempts,Shots,ShotsOnTarget,YellowCards,RedCards,FoulsCommitted,FoulsDrawn,Offsides,Crosses,TacklesWon,Interceptions,OwnGoals,PenaltyWon,PenaltyConceded,ShotsFaced,Saves,PenaltyFaced,PenaltySaved,Rating,KeyPasses,PassesCompleted,PassAttempted,DribblesAttempted,DribbleSuccess
2025/26,Premier League,2025-08-17,Manchester Utd,Arsenal,Luke Shaw,Manchester Utd,DF,TRUE,79,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6.8,1,44,57,0,0
2025/26,Premier League,2025-08-24,Fulham,Manchester Utd,Luke Shaw,Manchester Utd,DF,TRUE,86,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,57,65,1,0
2025/26,Premier League,2025-08-30,Manchester Utd,Burnley,Luke Shaw,Manchester Utd,DF,TRUE,90,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,6.6,0,55,64,1,0
2025/26,Premier League,2025-09-14,Manchester City,Manchester Utd,Luke Shaw,Manchester Utd,DF,TRUE,90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.2,0,53,58,0,0
2025/26,Premier League,2025-09-20,Manchester Utd,Chelsea,Luke Shaw,Manchester Utd,DF,TRUE,90,0,0,0,0,1,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,6.8,0,34,38,0,0
2025/26,Premier League,2025-09-27,Brentford,Manchester Utd,Luke Shaw,Manchester Utd,DF,TRUE,80,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.9,0,47,58,1,0
2025/26,Premier League,2025-10-04,Manchester Utd,Sunderland,Luke Shaw,Manchester Utd,DF,TRUE,90,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,6.7,0,35,41,1,0
2025/26,Premier League,2025-10-19,Liverpool,Manchester Utd,Luke Shaw,Manchester Utd,DF,TRUE,84,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6.6,0,17,21,1,0
2025/26,Premier League,2025-10-25,Manchester Utd,Brighton,Luke Shaw,Manchester Utd,DF,TRUE,64,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.9,1,31,35,0,0
2025/26,Premier League,2025-11-01,Nottingham,Manchester Utd,Luke Shaw,Manchester Utd,DF,TRUE,90,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,7.6,0,65,74,1,1
2025/26,Premier League,2025-11-08,Tottenham,Manchester Utd,Luke Shaw,Manchester Utd,DF,TRUE,90,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,6.4,0,38,47,0,0
2025/26,Premier League,2025-11-24,Manchester Utd,Everton,Luke Shaw,Manchester Utd,DF,TRUE,90,0,0,0,0,0,0,0,0,1,0,0,4,3,1,0,0,0,0,0,0,0,7.1,3,88,95,0,0
2025/26,Premier League,2025-11-30,Crystal Palace,Manchester Utd,Luke Shaw,Manchester Utd,DF,TRUE,81,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,7.1,0,60,69,0,0
2025/26,Premier League,2025-12-04,Manchester Utd,West Ham,Luke Shaw,Manchester Utd,DF,TRUE,87,0,0,0,0,0,0,1,0,3,0,0,3,2,0,0,0,0,0,0,0,0,6.1,0,52,66,1,0
2025/26,Premier League,2025-12-08,Wolves,Manchester Utd,Luke Shaw,Manchester Utd,DF,TRUE,90,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,6.5,1,41,49,0,0
2025/26,Premier League,2025-12-15,Manchester Utd,Bournemouth,Luke Shaw,Manchester Utd,DF,TRUE,89,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,6,0,28,35,1,1
2025/26,Premier League,2025-12-21,Aston Villa,Manchester Utd,Luke Shaw,Manchester Utd,DF,TRUE,90,0,0,0,0,0,0,0,0,2,0,0,2,1,3,0,0,0,0,0,0,0,6.5,0,63,70,0,0
2025/26,Premier League,2025-12-26,Manchester Utd,Newcastle,Luke Shaw,Manchester Utd,DF,TRUE,87,0,0,0,0,0,0,1,0,1,0,0,2,1,3,0,0,0,0,0,0,0,7,1,23,29,0,0
2025/26,Premier League,2025-12-30,Manchester Utd,Wolves,Luke Shaw,Manchester Utd,DF,TRUE,90,0,0,0,0,0,0,0,0,2,0,0,10,1,0,0,0,0,0,0,0,0,6.5,3,63,66,1,1
2025/26,Premier League,2026-01-04,Leeds United,Manchester Utd,Luke Shaw,Manchester Utd,MF,TRUE,90,0,0,0,0,0,0,0,0,2,2,0,5,0,1,0,0,0,0,0,0,0,6.7,1,27,30,0,0
2025/26,Premier League,2026-01-07,Burnley,Manchester Utd,Luke Shaw,Manchester Utd,DF,TRUE,90,0,0,0,0,0,0,0,0,1,1,0,7,3,0,0,0,0,0,0,0,0,6.9,2,60,62,2,1
2025/26,Premier League,2026-01-17,Manchester Utd,Manchester City,Luke Shaw,Manchester Utd,DF,TRUE,89,0,0,0,0,0,0,1,0,2,0,0,1,1,2,0,0,0,0,0,0,0,6.9,0,25,28,0,0
2025/26,Premier League,2026-01-25,Arsenal,Manchester Utd,Luke Shaw,Manchester Utd,DF,TRUE,90,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,0,0,0,0,0,6.3,0,26,27,1,1
2025/26,Premier League,2026-02-01,Manchester Utd,Fulham,Luke Shaw,Manchester Utd,DF,TRUE,90,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,5.9,0,27,29,1,0
2025/26,Premier League,2026-02-07,Manchester Utd,Tottenham,Luke Shaw,Manchester Utd,DF,TRUE,86,0,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,6.8,0,44,52,0,0
