Season,Competition,MatchDate,HomeClub,AwayClub,HomeGoals,AwayGoals,Status
2026/27,Premier League,2026-08-22,Arsenal,Coventry City,3,0,Completed
2026/27,Premier League,2026-08-22,Hull City,Manchester Utd,2,0,Completed
2026/27,Premier League,2026-08-22,Ipswich Town,Sunderland,2,1,Completed
2026/27,Premier League,2026-08-22,Nottingham,Leeds United,0,1,Completed
2026/27,Premier League,2026-08-22,Everton,Crystal Palace,2,0,Completed
2026/27,Premier League,2026-08-22,Brentford,Tottenham,3,0,Completed
2026/27,Premier League,2026-08-23,Manchester City,Bournemouth,2,1,Completed
2026/27,Premier League,2026-08-23,Brighton,Aston Villa,4,0,Completed
2026/27,Premier League,2026-08-23,Newcastle,Liverpool,2,2,Completed
2026/27,Premier League,2026-08-25,Fulham,Chelsea,2,3,Completed
2026/27,Premier League,2026-08-29,Crystal Palace,Manchester City,1,4,Completed
2026/27,Premier League,2026-08-29,Liverpool,Nottingham,2,2,Completed
2026/27,Premier League,2026-08-29,Coventry City,Hull City,0,1,Completed
2026/27,Premier League,2026-08-29,Bournemouth,Everton,1,1,Completed
2026/27,Premier League,2026-08-29,Tottenham,Newcastle,0,2,Completed
2026/27,Premier League,2026-08-30,Chelsea,Brighton,4,3,Completed
2026/27,Premier League,2026-08-30,Sunderland,Fulham,1,0,Completed
2026/27,Premier League,2026-08-30,Leeds United,Brentford,1,1,Completed
2026/27,Premier League,2026-08-30,Manchester Utd,Ipswich Town,5,2,Completed
2026/27,Premier League,2026-08-29,Aston Villa,Arsenal,0,1,Completed
2026/27,Premier League,2026-09-05,Ipswich Town,Liverpool,0,2,Completed
2026/27,Premier League,2026-09-05,Newcastle,Bournemouth,2,2,Completed
2026/27,Premier League,2026-09-05,Nottingham,Tottenham,0,0,Completed
2026/27,Premier League,2026-09-05,Fulham,Crystal Palace,2,3,Completed
2026/27,Premier League,2026-09-05,Brentford,Sunderland,1,1,Completed
2026/27,Premier League,2026-09-05,Manchester City,Coventry City,1,0,Completed
2026/27,Premier League,2026-09-05,Brighton,Leeds United,1,1,Completed
2026/27,Premier League,2026-09-05,Hull City,Aston Villa,0,0,Completed
2026/27,Premier League,2026-09-06,Everton,Manchester Utd,2,2,Completed
2026/27,Premier League,2026-09-06,Arsenal,Chelsea,2,1,Completed
